Reittitunnus	Nimi	Japi_id	Pono	Jakelukohde	Elementtinumero	KRD_Vyohyke	I_koordinatti	P_koordinatti	Japityyppi	Matkajapille	Hissi	Kerros	jnro	Jakti Internal Sequence
6210010	Kuoppalantie 6 C 9	437933	62100	186328	726998	3	3297251	6991226	4071	0			1850	9
6210010	Kuoppalantie 6 C 10	437934	62100	186328	726998	3	3297251	6991226	4071	0			1860	10
6210010	Kuoppalantie 6 D 11	437935	62100	186328	726998	3	3297251	6991226	4071	0			1870	11
6210010	Kuoppalantie 6 D 12	437936	62100	186328	726998	3	3297251	6991226	4071	0			1880	12
6210010	Kuoppalantie 6 D 13	437937	62100	186328	726998	3	3297251	6991226	4071	0			1890	13
6210010	Kuoppalantie 6 D 14	437938	62100	186328	726998	3	3297251	6991226	4071	0			1900	14
6210010	Alanurmontie 6	437839	62100	186300	726998	3	3297329	6991231	4071	0			1920	1
6210010	Alanurmontie 3	437838	62100	186299	726998	3	3297315	6991220	5009	0			1940	1
6210010	Alanurmontie 5	437840	62100	186299	726998	3	3297315	6991220	4071	0			1950	2
6210010	Ilkantie 2	437842	62100	186302	726998	3	3297308	6991177	4071	0			1970	1
6210010	Ilkantie 3 as 1	4001743	62100	186302	726998	3	3297310	6991177	4071	0			1980	1
6210010	Ilkantie 5	437844	62100	186304	726998	3	3297284	6991166	4071	0			2000	1
6210010	Ilkantie 7	437845	62100	186305	726998	3	3297256	6991159	4071	0			2020	1
6210010	Ilkantie 9	437846	62100	186306	726998	3	3297196	6991138	4071	0			2040	1
6210010	Alanurmontie 14	437849	62100	186309	726998	3	3297348	6991146	4071	0			2060	1
6210010	Pöntisentie 3	437853	62100	186313	726998	3	3297303	6991087	4071	0			2080	1
6210010	Pöntisentie 4	437852	62100	186313	726998	3	3297303	6991087	4071	0			2090	2
6210010	Alanurmontie 13	437631	62100	186171	726998	3	3297346	6991083	4071	0			2110	1
6210010	Alanurmontie 15	437633	62100	186175	726998	3	3297346	6991083	4071	0			2170	2
6210010	Alanurmontie 16	437850	62100	186310	726998	3	3297359	6991083	4071	0			2130	1
6210010	Alanurmontie 18	437632	62100	186310	726998	3	3297359	6991083	4071	0			2140	2
6210010	Alanurmontie 17	437634	62100	186175	726998	3	3297373	6991026	4071	0			2180	1
6210010	Alanurmontie 20 A	437635	62100	186175	726998	3	3297373	6991026	4071	0			2190	2
6210010	Alanurmontie 20 B	437636	62100	186175	726998	3	3297373	6991026	4071	0			2200	3
6210010	Alanurmontie 20 C	437637	62100	186175	726998	3	3297373	6991026	4071	0			2210	4
6210010	Alanurmontie 20 D	437638	62100	186175	726998	3	3297373	6991026	4071	0			2220	5
6210010	Alanurmontie 20 E	437639	62100	186175	726998	3	3297373	6991026	4071	0			2230	6
6210010	Alanurmontie 20 F	437640	62100	186175	726998	3	3297373	6991026	4071	0			2240	7
6210010	Alanurmontie 22	437641	62100	186181	726998	3	3297374	6990975	4071	0			2260	1
6210010	Tarhatie 4	437642	62100	186182	726998	3	3297303	6990956	4071	0			2280	1
6210010	Tarhatie 7	437643	62100	186183	726998	3	3297248	6990931	4071	0			2300	1
6210010	Vikmanintie 6	437644	62100	186184	726998	3	3297290	6990905	4071	0			2320	1
6210010	Tarhatie 6	4001277	62100	2912861	726998	3	3297290	6990905	4071	0			2340	2
6210010	Alanurmontie 23	437646	62100	186186	726998	3	3297349	6990936	5009	0			2360	1
6210010	Alanurmontie 21	437645	62100	186186	726998	3	3297349	6990936	4071	0			2370	2
6210010	Alanurmontie 25 A	437648	62100	186188	244766	3	3297351	6990900	4071	0			2400	1
6210010	Alanurmontie 25 B	437647	62100	186188	244766	3	3297351	6990900	4071	0			2410	2
6210010	Alanurmontie 27	437696	62100	186214	244766	3	3297363	6990876	4071	0			2430	1
